p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
348,100,22,2,0,0,1,2,2
348,100,22,2,0,0,1,2,2
366,110,24,4,0,0,2,3,3
366,110,24,4,0,0,2,3,3
402,126,28,4,0,0,2,3,4
426,134,30,8,0,0,2,4,5
456,140,32,8,0,0,2,4,5
456,140,32,8,0,0,2,4,5
450,126,36,8,2,2,2,4,6
450,126,36,8,2,2,2,4,6
486,136,32,6,2,2,2,4,5
468,130,28,8,2,2,2,4,5
492,138,26,4,2,2,2,3,5
492,138,26,4,2,2,2,3,5
462,136,28,2,0,0,2,3,3
462,136,28,2,0,0,2,3,3
480,150,36,2,0,0,2,4,4
498,152,42,4,2,2,2,4,5
462,142,42,2,2,2,2,3,5
462,142,42,2,2,2,2,3,5
432,134,44,4,2,2,2,4,5
432,134,44,4,2,2,2,4,5
396,124,38,4,2,2,2,3,5
390,120,32,4,2,2,2,3,5
318,98,18,2,0,0,1,2,2
318,98,18,2,0,0,1,2,2
372,114,22,0,0,0,2,3,3
372,114,22,0,0,0,2,3,3
378,112,24,0,0,0,2,2,2
396,118,24,0,0,0,2,2,2
402,118,26,2,0,0,2,3,3
408,122,26,2,0,0,2,3,3
456,142,30,2,0,0,1,3,3
456,142,30,2,0,0,2,4,4
432,134,28,2,0,0,2,3,3
456,144,30,2,0,0,2,4,4
444,142,28,2,0,0,2,4,4
444,142,28,2,0,0,2,4,4
474,150,28,0,0,0,3,4,4
474,150,28,0,0,0,3,4,4
468,148,28,0,0,0,3,3,3
480,154,28,0,0,0,3,4,4
468,140,32,0,0,0,2,3,3
468,140,32,0,0,0,2,3,3
516,158,44,0,0,0,3,4,4
516,158,44,0,0,0,3,4,4
498,156,42,0,0,0,3,4,4
510,158,38,0,0,0,3,4,4
504,152,34,0,0,0,3,4,4
504,152,34,0,0,0,3,4,4
456,140,24,0,0,0,2,3,3
456,140,24,0,0,0,2,3,3
438,134,22,0,0,0,2,3,3
438,134,22,0,0,0,2,3,3
426,132,28,0,0,0,2,3,3
426,132,28,0,0,0,2,3,3
438,138,28,0,0,0,1,2,2
438,138,28,0,0,0,1,2,2
450,140,30,2,2,2,2,3,4
468,144,30,2,2,2,2,3,5
546,164,32,2,2,2,3,4,5
546,164,32,2,2,2,3,4,5
516,150,26,2,2,2,2,3,5
516,150,26,2,2,2,2,3,5
468,134,26,2,0,0,2,3,3
468,134,26,2,0,0,2,3,3
468,136,32,2,0,0,2,4,4
468,140,34,2,0,0,2,4,4
354,108,34,2,0,0,1,3,3
354,108,34,2,0,0,1,3,3
396,122,32,0,0,0,1,3,3
396,122,32,0,0,0,1,3,3
432,132,38,2,0,0,2,4,4
390,118,34,2,0,0,1,4,4
420,124,26,2,0,0,2,3,3
420,124,26,2,0,0,2,3,3
408,120,28,4,0,0,2,4,4
408,120,28,4,0,0,2,4,4
450,138,30,2,0,0,2,4,4
450,138,30,2,0,0,2,4,4
510,160,42,2,0,0,3,4,4
492,154,44,4,0,0,2,5,5
492,150,42,4,0,0,2,5,5
492,150,42,4,0,0,2,5,5
522,154,42,4,0,0,2,5,5
522,154,42,4,0,0,2,5,5
510,142,28,4,0,0,2,4,4
510,142,28,4,0,0,2,4,4
516,148,30,2,0,0,2,4,4
522,150,28,2,0,0,2,4,4
540,156,32,4,0,0,3,5,5
540,156,32,4,0,0,2,4,4
552,162,36,4,0,0,2,5,5
552,162,36,4,0,0,2,5,5
546,164,42,4,0,0,2,5,5
564,168,42,4,0,0,3,5,5
522,156,36,2,0,0,1,3,3
522,156,36,2,0,0,2,4,4
510,152,26,0,0,0,1,3,3
510,152,26,0,0,0,1,3,3
510,152,26,0,0,0,1,3,3
378,116,18,0,0,0,1,2,2
378,116,18,0,0,0,1,2,2
378,114,18,0,0,0,1,2,2
378,116,22,0,0,0,1,2,2
432,134,26,0,0,0,2,3,3
432,134,26,0,0,0,2,3,3
474,144,22,2,2,2,2,3,4
474,144,22,2,2,2,2,3,4
468,140,20,2,2,2,2,3,4
468,140,20,2,2,2,2,3,4
468,138,24,4,2,2,2,3,5
492,142,24,4,2,2,2,3,5
426,122,24,4,2,2,2,2,5
426,122,24,4,2,2,2,2,5
498,144,36,4,0,0,2,4,5
498,144,36,4,0,0,2,4,5
582,174,38,2,0,0,3,5,5
582,174,38,2,0,0,3,5,5
654,192,36,2,0,0,3,5,5
678,204,42,4,0,0,3,6,6
624,184,42,4,0,0,3,5,5
624,184,42,4,0,0,3,5,5
594,176,32,2,0,0,3,4,4
594,176,32,2,0,0,3,4,4
600,182,40,2,0,0,3,5,5
600,182,44,2,0,0,3,5,5
540,168,40,0,0,0,2,3,3
540,168,40,0,0,0,2,3,3
516,158,34,2,0,0,1,3,3
516,158,34,2,0,0,1,3,3
606,186,40,4,0,0,3,6,6
606,186,40,4,0,0,3,6,6
564,172,32,4,0,0,2,5,5
630,190,38,8,0,0,3,6,6
654,190,46,20,0,0,3,8,9
648,190,50,20,0,0,3,8,9
672,206,44,24,0,0,3,9,9
630,196,44,22,0,0,3,8,9
624,192,44,18,0,0,3,7,8
624,192,44,18,0,0,3,7,8
642,198,38,10,0,0,3,6,6
642,198,38,10,0,0,3,6,6
600,178,40,4,0,0,3,5,5
582,172,38,2,0,0,2,4,4
642,190,40,0,0,0,3,5,5
642,190,40,0,0,0,3,5,5
594,172,36,0,0,0,3,4,4
594,172,36,0,0,0,3,4,4
570,170,42,0,0,0,3,5,5
612,186,42,0,0,0,3,5,5
624,192,52,4,0,0,2,6,6
624,192,52,4,0,0,2,6,6
672,206,60,6,0,0,3,8,8
672,206,60,6,0,0,3,8,8
660,210,66,8,0,0,3,8,8
702,222,68,10,0,0,4,8,9
708,220,74,12,0,0,2,8,8